Self class,Target class
steam locomotive,"hammerhead, hammerhead shark"
"cheetah, chetah, Acinonyx jubatus",weasel
"pay-phone, pay-station",analog clock
Loafer,obelisk
"heck, cab, hack, taxi, taxicab","submarine, pigboat, sub, U-boat"
hare,"indigo bunting, indigo finch, indigo bird, Passerina cyanea"
goose,bow
"pool table, billiard table, snooker table","toilet tissue, toilet paper, bathroom tissue"
cowboy boot,mashed potato
military uniform,combination lock
"cliff, drop, drop-off",Petri dish
"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch","brassiere, bra, bandeau"
"tank, army tank, armored combat vehicle, armoured combat vehicle","china cabinet, china closet"
"harvester, reaper",spatula
"American egret, great white heron, Egretta albus","refrigerator, icebox"
chest,"swab, swob, mop"
comic book,purse
ptarmigan,muzzle
"revolver, six-gun, six-shooter","bearskin, busby, shako"
"American alligator, Alligator mississipiensis",balloon
alp,"red-backed sandpiper, dunlin, Erolia alpina"
snail,"frilled lizard, Chlamydosaurus kingi"
coral reef,"spotlight, spot"
"teddy, teddy bear","maze, labyrinth"
"goldfish, Carassius auratus",Mexican hairless
"seashore, coast, seacoast, sea-coast",rain barrel
"American egret, great white heron, Egretta albus",vault
"fox squirrel, eastern fox squirrel, Sciurus niger",Sussex spaniel
"oystercatcher, oyster catcher","sunscreen, sunblock, sun blocker"
"book jacket, dust cover, dust jacket, dust wrapper","Tibetan terrier, chrysanthemum dog"
fountain,"bakery, bakeshop, bakehouse"
admiral,"apiary, bee house"
umbrella,entertainment center
"long-horned beetle, longicorn, longicorn beetle","hip, rose hip, rosehip"
llama,wire-haired fox terrier
"heck, beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon","dishwasher, dish washer, dishwashing machine"
goose,"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
street sign,"hand blower, blow dryer, blow drier, hair dryer, hair drier"
Persian cat,pinwheel
"drum, membranophone, tympan",sundial
leafhopper,Chihuahua
"radio, wireless",weevil
airliner,"ibex, Capra ibex"
"dogsled, dog sled, dog sleigh","suit, suit of clothes"
stretcher,thimble
fly,"bakery, bakeshop, bakehouse"
"bagel, beigel","heck, motor scooter, scooter"
chainlink fence,balloon
altar,"thresher, thrasher, threshing machine"
holster,"letter opener, paper knife, paperknife"
street sign,"stupa, tope"
sliding door,ptarmigan
"artichoke, globe artichoke",schooner
drake,suspension bridge
carbonara,tick
"drum, membranophone, tympan",guacamole
water tower,"lighter, light, igniter, ignitor"
toyshop,"white wolf, Arctic wolf, Canis lupus tundrarum"
"loggerhead, loggerhead turtle, Caretta caretta",cock
"albatross, mollymawk",Kerry blue terrier
Model T,"tank, army tank, armored combat vehicle, armoured combat vehicle"
earthstar,Greater Swiss Mountain dog
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",zebra
pier,"lawn mower, mower"
jellyfish,school bus
necklace,bassinet
speedboat,barbell
desk,suspension bridge
"goldfish, Carassius auratus","leopard, Panthera pardus"
triumphal arch,"scale, weighing machine"
"guinea pig, Cavia cobaya","capuchin, ringtail, Cebus capucinus"
pier,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa"
suspension bridge,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system"
"lakeside, lakeshore","iron, smoothing iron"
lionfish,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"
vault,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
"garter snake, grass snake","washbasin, handbasin, washbowl, lavabo, wash-hand basin"
bull mastiff,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
running shoe,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
steam locomotive,acoustic guitar
car wheel,head cabbage
steam locomotive,bull mastiff
damselfly,"loggerhead, loggerhead turtle, Caretta caretta"
Loafer,"tiger, Panthera tigris"
snail,"drum, membranophone, tympan"
triumphal arch,"English springer, English springer spaniel"
baseball,street sign
alp,shovel
espresso,"bannister, banister, balustrade, balusters, handrail"
"promontory, headland, head, foreland","dogsled, dog sled, dog sleigh"
"horse cart, horse-cart",digital watch
"gasmask, respirator, gas helmet","lynx, catamount"
"thatch, thatched roof",shower curtain
"Old English sheepdog, bobtail","loupe, jeweler’s loupe"
"椒 红椒, bell pepper","gong, tam-tam"
"dragonfly, darning needle, devil’s darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk","jinrikisha, ricksha, rickshaw"
"disk brake, disc brake","scale, weighing machine"
"heck, minivan",espresso maker
pelican,"heck, passenger car, coach, carriage"
street sign,reel
comic book,Irish wolfhound
vase,"siamang, Hylobates syndactylus, Symphalangus syndactylus"
"barn spider, Araneus cavaticus","vizsla, Hungarian pointer"
"Indian elephant, Elephas maximus","gasmask, respirator, gas helmet"
trifle,"African elephant, Loxodonta africana"
canoe,dough
"puck, hockey puck",marmoset
"bannister, banister, balustrade, balusters, handrail",mortarboard
wooden spoon,"rubber eraser, rubber, pencil eraser"
umbrella,"axolotl, mud puppy, Ambystoma mexicanum"
espresso,kimono
"flagpole, flagstaff","American egret, great white heron, Egretta albus"
fireboat,"thatch, thatched roof"
basenji,"hyena, hyaena"
beer bottle,"letter opener, paper knife, paperknife"
corn,"ballpoint, ballpoint pen, ballpen, Biro"
"heck, electric locomotive",maypole
menu,trifle
"American coot, marsh hen, mud hen, water hen, Fulica americana",English foxhound
"dishrag, dishcloth","Maltese dog, Maltese terrier, Maltese"
palace,hammer
"cellular telephone, cellular phone, cellphone, cell, mobile phone",pickelhaube
"buckeye, horse chestnut, conker",goose
balloon,"parallel bars, bars"
"horse cart, horse-cart",cradle
library,shower curtain
crane,altar
"starfish, sea star","king penguin, Aptenodytes patagonica"
"dragonfly, darning needle, devil’s darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk","tricycle, trike, velocipede"
crash helmet,"loupe, jeweler’s loupe"
"African elephant, Loxodonta africana","sea slug, nudibranch"
airliner,"heck, trolleybus, trolley coach, trackless trolley"
"quill, quill pen","recreational vehicle, RV, R.V."
"bakery, bakeshop, bakehouse","panpipe, pandean pipe, syrinx"
"heck, garbage truck, dustcart",pretzel
"buckeye, horse chestnut, conker","rock beauty, Holocanthus tricolor"
"television, television system",espresso
"ostrich, Struthio camelus","bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
"heck, pickup, pickup truck","wallet, billfold, notecase, pocketbook"
bison,cuirass
"heck, fire engine, fire truck",Crock Pot
"heck, sports car, sport car","greenhouse, nursery, glasshouse"
toyshop,"washer, automatic washer, washing machine"
apron,"Indian cobra, Naja naja"
"lipstick, lip rouge","prison, prison house"
"pizza, pizza pie",admiral
crane,"pool table, billiard table, snooker table"
"Cardigan, Cardigan Welsh corgi","butcher shop, meat market"
"warplane, military plane",projector
electric guitar,projector
wig,coucal
"pedestal, plinth, footstall","marimba, xylophone"
leafhopper,"indri, indris, Indri indri, Indri brevicaudatus"
"redshank, Tringa totanus",ox
"bald eagle, American eagle, Haliaeetus leucocephalus","gibbon, Hylobates lar"
"refrigerator, icebox","bucket, pail"
safety pin,"boa constrictor, Constrictor constrictor"
"seashore, coast, seacoast, sea-coast","gorilla, Gorilla gorilla"
obelisk,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
"puck, hockey puck","koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
cauliflower,baseball
canoe,dumbbell
"heck, tow truck, tow car, wrecker","water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
"rocking chair, rocker",face powder
"radio, wireless",carbonara
"heck, passenger car, coach, carriage","flagpole, flagstaff"
kimono,tractor
bee,green mamba
vault,"swimming trunks, bathing trunks"
cannon,earthstar
palace,tractor
vault,"pot, flowerpot"
"cliff, drop, drop-off","sea slug, nudibranch"
"accordion, piano accordion, squeeze box",rain barrel
alp,safe
Loafer,oxygen mask
"ant, emmet, pismire","saltshaker, salt shaker"
"house finch, linnet, Carpodacus mexicanus","ground beetle, carabid beetle"
dome,"rocking chair, rocker"
dome,menu
banded gecko,running shoe
mortarboard,"paddle, boat paddle"
zebra,boathouse
iPod,radiator
"heck, electric locomotive","megalith, megalithic structure"
military uniform,analog clock
broccoli,sunglass
scabbard,"hand blower, blow dryer, blow drier, hair dryer, hair drier"
"heck, moped","capuchin, ringtail, Cebus capucinus"
"odometer, hodometer, mileometer, milometer",half track
"heck, convertible",turnstile
fly,toyshop
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",eel
"caldron, cauldron","iron, smoothing iron"
"heck, pickup, pickup truck","Polaroid camera, Polaroid Land camera"
volcano,"ocarina, sweet potato"
"dalmatian, coach dog, carriage dog",stage
"pot, flowerpot","pencil box, pencil case"
"heck, streetcar, tram, tramcar, trolley, trolley car",Band Aid
"flagpole, flagstaff","china cabinet, china closet"
"heck, sports car, sport car",Granny Smith
"submarine, pigboat, sub, U-boat",gown
"heck, streetcar, tram, tramcar, trolley, trolley car","stupa, tope"
"brass, memorial tablet, plaque","file, file cabinet, filing cabinet"
"流, valley, vale","garden spider, Aranea diademata"
vestment,plate rack
carbonara,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
vase,"piggy bank, penny bank"
"thatch, thatched roof",miniature poodle
bee,"African crocodile, Nile crocodile, Crocodylus niloticus"
wall clock,"Polaroid camera, Polaroid Land camera"
crate,altar
car mirror,"Gila monster, Heloderma suspectum"
fountain,hatchet
"flagpole, flagstaff",bassoon
scuba diver,"jersey, T-shirt, tee shirt"
mountain tent,"fox squirrel, eastern fox squirrel, Sciurus niger"
"beacon, lighthouse, beacon light, pharos",necklace
spoonbill,"Shetland sheepdog, Shetland sheep dog, Shetland"
"ice cream, icecream",tape player
"mailbox, letter box",triumphal arch
"butcher shop, meat market","gorilla, Gorilla gorilla"
"pedestal, plinth, footstall",miniature poodle
tile roof,toyshop
"liner, ocean liner","oscilloscope, scope, cathode-ray oscilloscope, CRO"
"grocery store, grocery, food market, market","bearskin, busby, shako"
papillon,"toilet tissue, toilet paper, bathroom tissue"
triceratops,monastery
rapeseed,ski mask
"wallaby, brush kangaroo",altar
beer glass,"quill, quill pen"
"harvester, reaper",barbell
cardoon,"hoopskirt, crinoline"
Crock Pot,"chime, bell, gong"
"electric fan, blower",Norfolk terrier
cardoon,spaghetti squash
"grand piano, grand",envelope
totem pole,"thresher, thrasher, threshing machine"
"brambling, Fringilla montifringilla","groom, bridegroom"
bottlecap,"silky terrier, Sydney silky"
"bathing cap, swimming cap",cannon
bottlecap,"carpenter’s kit, tool kit"
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",yawl
"worm fence, snake fence, snake-rail fence, Virginia fence","cello, violoncello"
wing,"loggerhead, loggerhead turtle, Caretta caretta"
"ram, tup","cougar, puma, catamount, mountain lion, painter, panther, Felis concolor"
"heck, pickup, pickup truck",toilet seat
"candle, taper, wax light","home theater, home theatre"
"heck, trolleybus, trolley coach, trackless trolley","submarine, pigboat, sub, U-boat"
vault,screw
pier,mountain tent
potpie,"binder, ring-binder"
"tank, army tank, armored combat vehicle, armoured combat vehicle",pelican
beaker,padlock
"ballplayer, baseball player","odometer, hodometer, mileometer, milometer"
"gas pump, gasoline pump, petrol pump, island dispenser","killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
shovel,abaya
"heck, trolleybus, trolley coach, trackless trolley","lawn mower, mower"
harp,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"
cardigan,"gong, tam-tam"
sandal,comic book
"liner, ocean liner",bulletproof vest
"heck, mountain bike, all-terrain bike, off-roader","heck, minibus"
"parachute, chute",Australian terrier
tick,pinwheel
cardoon,rhinoceros beetle
"carousel, carrousel, merry-go-round, roundabout, whirligig","lab coat, laboratory coat"
geyser,"restaurant, eating house, eating place, eatery"
steam locomotive,"rubber eraser, rubber, pencil eraser"
"grasshopper, hopper","plunger, plumber’s helper"
"pizza, pizza pie",wine bottle
head cabbage,"lion, king of beasts, Panthera leo"
"lumbermill, sawmill",planetarium
"barrel, cask",sundial
"garter snake, grass snake","Saint Bernard, St Bernard"
"lycaenid, lycaenid butterfly","Afghan hound, Afghan"
"hippopotamus, hippo, river horse, Hippopotamus amphibius","Saluki, gazelle hound"
"pizza, pizza pie",wine bottle
stone wall,"spotted salamander, Ambystoma maculatum"
"iron, smoothing iron","suit, suit of clothes"
"rocking chair, rocker",soap dispenser
mixing bowl,hammer
carton,coffeepot
"oscilloscope, scope, cathode-ray oscilloscope, CRO","cleaver, meat cleaver, chopper"
"balance beam, beam","mailbag, postbag"
"heck, electric locomotive","punching bag, punch bag, punching ball, punchball"
"pedestal, plinth, footstall",snorkel
"flagpole, flagstaff","home theater, home theatre"
rhinoceros beetle,military uniform
gyromitra,mixing bowl
cheeseburger,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
"heck, electric locomotive",catamaran
"hip, rose hip, rosehip","lampshade, lamp shade"
"pay-phone, pay-station","barrel, cask"
stage,half track
rifle,"heck, cab, hack, taxi, taxicab"
school bus,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
obelisk,coucal
"heck, police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",honeycomb
"academic gown, academic robe, judge’s robe","dishwasher, dish washer, dishwashing machine"
"lakeside, lakeshore",mashed potato
"picket fence, paling","cornet, horn, trumpet, trump"
potpie,Bedlington terrier
triceratops,sea lion
"heck, minibus",airliner
pier,"artichoke, globe artichoke"
wing,"dial telephone, dial phone"
"American egret, great white heron, Egretta albus",quail
"flagpole, flagstaff",eggnog
"heck, ambulance","vacuum, vacuum cleaner"
"leaf beetle, chrysomelid",ski
goose,conch
manhole cover,hourglass
"theater curtain, theatre curtain","pineapple, ananas"
cheeseburger,Great Pyrenees
"流, valley, vale","wallet, billfold, notecase, pocketbook"
beer bottle,kimono
"heck, beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",Appenzeller
chainlink fence,sundial
leafhopper,"heck, mountain bike, all-terrain bike, off-roader"
vestment,paper towel
"heck, streetcar, tram, tramcar, trolley, trolley car",whiskey jug
zebra,golf ball
hummingbird,"heck, garbage truck, dustcart"
vestment,corn
fountain,"gong, tam-tam"
"heck, sports car, sport car",rugby ball
"dock, dockage, docking facility",electric guitar
"junco, snowbird",German short-haired pointer
"greenhouse, nursery, glasshouse","thresher, thrasher, threshing machine"
alp,"heck, motor scooter, scooter"
"piggy bank, penny bank","grand piano, grand"
damselfly,"corkscrew, bottle screw"
"beacon, lighthouse, beacon light, pharos",scoreboard
"buckeye, horse chestnut, conker",Christmas stocking
"odometer, hodometer, mileometer, milometer",dough
soccer ball,"limpkin, Aramus pictus"
"greenhouse, nursery, glasshouse",baboon
"heck, pickup, pickup truck","bullet train, bullet"
"handkerchief, hankie, hanky, hankey",toyshop
"jackfruit, jak, jack",half track
"black widow, Latrodectus mactans","maze, labyrinth"
"stupa, tope","binoculars, field glasses, opera glasses"
castle,pencil sharpener
balloon,tripod
school bus,"snow leopard, ounce, Panthera uncia"
palace,toy terrier
digital watch,"walking stick, walkingstick, stick insect"
park bench,"hot pot, hotpot"
menu,"home theater, home theatre"
admiral,spoonbill
cricket,oxygen mask
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",canoe
cabbage butterfly,"dishwasher, dish washer, dishwashing machine"
mortarboard,bath towel
"horse cart, horse-cart","American alligator, Alligator mississipiensis"
balloon,trilobite
reflex camera,"binder, ring-binder"
"container ship, containership, container vessel",wine bottle
padlock,"harvestman, daddy longlegs, Phalangium opilio"
"dam, dike, dyke",toucan
fly,badger
dowitcher,"rock beauty, Holocanthus tricolor"
"washer, automatic washer, washing machine","affenpinscher, monkey pinscher, monkey dog"
"cinema, movie theater, movie theatre, movie house, picture palace","jaguar, panther, Panthera onca, Felis onca"
viaduct,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
"long-horned beetle, longicorn, longicorn beetle","goldfish, Carassius auratus"
"megalith, megalithic structure","dam, dike, dyke"
altar,"hand blower, blow dryer, blow drier, hair dryer, hair drier"
sweatshirt,sliding door
"box turtle, box tortoise",tick
damselfly,fountain
"greenhouse, nursery, glasshouse",abacus
orange,"swimming trunks, bathing trunks"
steel arch bridge,power drill
"heck, minivan",shower cap
"heck, moped",potter’s wheel
soccer ball,jellyfish
"butcher shop, meat market",pickelhaube
strawberry,comic book
cannon,"heck, electric locomotive"
bulbul,"church, church building"
"maze, labyrinth","red-backed sandpiper, dunlin, Erolia alpina"
daisy,alligator lizard
strawberry,"tench, Tinca tinca"
comic book,"balance beam, beam"
tractor,car mirror
park bench,window screen
"heck, trolleybus, trolley coach, trackless trolley","plow, plough"
pelican,"groom, bridegroom"
French loaf,"European fire salamander, Salamandra salamandra"
stone wall,"loggerhead, loggerhead turtle, Caretta caretta"
monastery,"skunk, polecat, wood pussy"
tile roof,"标 check, grille, radiator grille"
chainlink fence,Australian terrier
knot,"restaurant, eating house, eating place, eatery"
steam locomotive,"Airedale, Airedale terrier"
"dragonfly, darning needle, devil’s darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk","vacuum, vacuum cleaner"
swing,comic book
"heck, electric locomotive",hay
"beacon, lighthouse, beacon light, pharos","bucket, pail"
mosque,nail
Crock Pot,"标 check, grille, radiator grille"
military uniform,pill bottle
"maze, labyrinth",steel arch bridge
"vacuum, vacuum cleaner",measuring cup
acoustic guitar,slug
volleyball,"groom, bridegroom"
"quill, quill pen","drilling platform, offshore rig"
stone wall,"meerkat, mierkat"
"heck, sports car, sport car",crane
cannon,"mantis, mantid"
"车 check, moving van",go-kart
pole,kelpie
tile roof,mixing bowl
"ringlet, ringlet butterfly",sleeping bag
"worm fence, snake fence, snake-rail fence, Virginia fence",weasel
cheeseburger,"brass, memorial tablet, plaque"
"ground beetle, carabid beetle","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"
rugby ball,"snowplow, snowplough"
rotisserie,West Highland white terrier
"bell cote, bell cot","gorilla, Gorilla gorilla"
"wool, woolen, woollen","chime, bell, gong"
geyser,"meat loaf, meatloaf"
"heck, convertible",coffeepot
manhole cover,"punching bag, punch bag, punching ball, punchball"
"grocery store, grocery, food market, market","washbasin, handbasin, washbowl, lavabo, wash-hand basin"
Model T,joystick
Pomeranian,standard schnauzer
goose,"corkscrew, bottle screw"
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",trench coat
"church, church building","file, file cabinet, filing cabinet"
volcano,radiator
hen,Australian terrier
street sign,paintbrush
"restaurant, eating house, eating place, eatery","container ship, containership, container vessel"
"bookshop, bookstore, bookstall",soap dispenser
basketball,waffle iron
"black swan, Cygnus atratus",weasel
fiddler crab,"radio, wireless"
"pop bottle, soda bottle",Loafer
airliner,"ibex, Capra ibex"
bottlecap,Irish terrier
umbrella,mortar
abaya,"ibex, Capra ibex"
manhole cover,football helmet
"heck, streetcar, tram, tramcar, trolley, trolley car",toyshop
volleyball,"caldron, cauldron"
"lakeside, lakeshore",hummingbird
